id,title,difficulty,distance_m,duration_min,altitude_diff,altitude_start,has_rentals,lift_available,is_open,is_prepared,location,activity_type
dss_86628,Capanna Margherita,2,450.0,0.08,95.0,,0,0,1,0,Unknown,activity
dss_664,Capanna Margherita,,400.0,0.03,64.0,1887.0,0,0,1,0,Unknown,activity
smgpoifa9e2d477b4d8596b0960fe05abba558,Capanna Nera,,,,,1724.0,0,0,1,0,Corvara,6285F49DBBE04393BAD29E6EF219EB03
dss_215692,Capanna Nera,2,971.0,0.09,114.0,1610.0,0,0,1,0,Corvara,activity
dss_298,Capanna Nera,,903.0,0.11,115.0,1611.0,0,0,1,0,Corvara,activity
smgpoic4c3c210471041e58f6256b86bddf961,Capanna Nera,,,,,1611.0,0,0,1,0,Corvara,9CBAC00246A8467E93DD66F3A1A9C594
dss_215855,Caprioli,4,832.0,0.06,180.0,2040.0,0,0,0,0,Unknown,activity
dss_215856,Caprioli 1,4,1174.0,0.09,236.0,1106.0,0,0,1,0,Unknown,activity
dss_182276,Carezza Snowpark,2,2000.0,0.15,195.0,1650.0,0,0,1,0,Welschnofen/Nova Levante,activity
smgpoiacb133e4b95cb129322035c31dc24d09,Carezza Snowpark,,,,,1845.0,0,0,1,0,Welschnofen/Nova Levante,6285F49DBBE04393BAD29E6EF219EB03
smgpoided61cbccffcce945596496bc2cdf7da_reduced,The Carl-Toldt-Weg Trail in Vahrn near Brixen,,,,,646.0,0,0,1,0,Vahrn/Varna,other hikes
smgpoi8f1e6c541f46456bbbc4d6e2af99d248,Carpazza,,,,,2350.0,0,0,1,0,Unknown,9CBAC00246A8467E93DD66F3A1A9C594
dss_525,Carpazza,,1362.0,0.13,416.0,1934.0,0,0,1,0,Corvara,activity
dss_6550891,Casot,2,1177.0,0.06,173.0,1578.0,0,0,1,0,Unknown,activity
dss_187052,Casot di Pecol,2,1550.0,0.12,173.0,,0,0,0,0,Unknown,winter
dss_701,Casot di Pecol,,609.0,0.04,165.0,1588.0,0,0,1,0,Unknown,activity
dss_702,Casot di Pecol-Col de la Grava,,1540.0,0.09,296.0,1575.0,0,0,1,0,Unknown,activity
smgpoi0b24349b886446632a6082daa65f4ab4_reduced,Castelfeder – Bolzano – Valle Isarco,,,,,570.0,1,0,1,0,Salorno/Salurn,racing bicycles
smgpoi11d47bb9f5d606c5ab34b523e749a447_reduced,Castelfeder – Merano - Val Venosta,,,,,1039.0,1,0,1,0,Salorno/Salurn,racing bicycles
smgpoi3b622c2956bf704fe628cfcf1332cc5a_reduced,Castelfeder – Trient – Garda,,,,,247.0,1,0,1,0,Auer/Ora,racing bicycles
dss_184947,Castelir,2,1400.0,0.11,240.0,1550.0,0,0,1,0,Unknown,activity
dss_187544,Castelir,2,1400.0,0.11,240.0,1550.0,0,0,0,0,Unknown,winter
dss_682,Castelir - Fassane,,1132.0,0.07,250.0,1549.0,0,0,0,0,Unknown,other
dss_594,Castelir - Fassane,,1132.0,0.09,250.0,1549.0,0,0,1,0,Unknown,activity
dss_628,Castellazzo,,961.0,0.11,229.0,,0,0,1,0,Unknown,activity
dss_604,Castellazzo,,961.0,0.11,229.0,,0,0,1,0,Deutschnofen/Nova Ponente,activity
dss_216251,Castellazzo 1,4,1250.0,0.15,217.0,2213.0,0,0,1,0,Unknown,activity
dss_216252,Castellazzo 2,4,995.0,0.06,217.0,2213.0,0,0,1,0,Unknown,activity
dss_216253,Castellazzo 3,4,1080.0,0.08,217.0,2213.0,0,0,1,0,Unknown,activity
dss_185205,,4,1275.0,0.1,225.0,1985.0,0,0,0,0,Unknown,winter
dss_185206,,4,1410.0,0.11,225.0,1985.0,0,0,0,0,Unknown,winter
dss_185208,,4,1450.0,0.11,225.0,1985.0,0,0,0,0,Unknown,winter
smgpoi733ad77f65d45c3925878c8e0c1ff286,Catores,,,,,2470.0,0,0,1,0,Urtijëi/Ortisei,6285F49DBBE04393BAD29E6EF219EB03
dss_216085,Catores,6,900.0,0.14,182.0,2280.0,0,0,1,0,Urtijëi/Ortisei,activity
smgpoi721143ac21f07f7a38c98ff44462a8b0,Catores - Fermeda,,,,,2520.0,0,0,1,0,Urtijëi/Ortisei,6285F49DBBE04393BAD29E6EF219EB03
dss_216086,Catores - Fermeda,4,500.0,0.09,480.0,2040.0,0,0,1,0,Urtijëi/Ortisei,activity
dss_362,Catores Martin,,627.0,0.06,182.0,2287.0,0,0,1,0,Urtijëi/Ortisei,activity
dss_1680504013,Catores Martin,,627.0,0.07,182.0,,0,0,1,0,Unknown,activity
smgpoiffbd299fbebf2cf08d68a8da6a666c03,Catores Martin,,,,,2287.0,0,0,1,0,Urtijëi/Ortisei,9CBAC00246A8467E93DD66F3A1A9C594
dss_573,Cavalese - Fondovalle,,534.0,0.04,112.0,850.0,0,0,1,0,Altrei/Anterivo,activity
smgpoid5f565f55bd21bc94437e19f2835bdac,CC Top Line,,,,,2255.0,0,0,1,0,Al Plan/San Vigilio,singletrail freeride
smgpoif8fc2371e8fa40cf9116f9f32435b05b,Cendevaves,,,,,1688.0,0,0,1,0,S.Crestina Gherdëina/Santa Cristina Val Gardana,9CBAC00246A8467E93DD66F3A1A9C594
dss_374,Cendevaves,,339.0,0.03,62.0,1629.0,0,0,1,0,S.Crestina Gherdëina/Santa Cristina Val Gardana,activity
dss_1680248347,Cendevaves,,339.0,0.05,62.0,,0,0,0,0,Unknown,activity
