id,en_title,activity_type,location,difficulty,distance_m,duration_min,summary,keywords,summary_source,hazard_flags,condition_flags,has_hazard,has_condition_info
smgpoic3909c960a26a6997bce61b8cedbf3ae,Winter hike to the Schaubachhütte mountain hut,climbing,Stilfs/Stelvio,2,900.0,4.2,Climbing route in Stilfs/Stelvio.,"winter hike, the schaubachhütte mountain hut, winter, schaubachhütte",template,,,False,False
smgpoie64ace11e72baeacb6065e5030ddf8c2,Winter hike to the Stilfser Alm Alpine farm,climbing,Stilfs/Stelvio,2,900.0,4.2,Climbing route in Stilfs/Stelvio.,"winter hike, the stilfser alm alpine farm, winter, the stilfser alm alpine",template,,,False,False
smgpoid2b73ece5baef09436b532a40ca62e09,Winter Hike at Meran 2000,climbing,Hafling/Avelengo,2,900.0,4.2,Climbing route in Hafling/Avelengo.,"winter hike, meran, 2000",template,,,False,False
smgpoi1bce45b9f40d7ae83ff65a7ff92000b6,Winter hiking tour to the Moseralm hut in Terenten,climbing,Terenten/Terento,2,900.0,4.2,Climbing route in Terenten/Terento.,"winter hiking tour, the moseralm hut, terenten, winter",template,,,False,False
smgpoib7ee735819e4a64cacb27b0c523b807e,"Winter hiking tour from the top ""Schilling"" cable car to the Altfasstal",climbing,Mühlbach/Rio di Pusteria,2,900.0,4.2,Climbing route in Mühlbach/Rio di Pusteria.,"winter hiking tour, the top ""schilling"" cable car, the altfasstal, winter, altfasstal",template,,,False,False
smgpoi249ca68b489953e596087f89a05f337e,Winter hike: Biotope Rasen,climbing,Rasen-Antholz/Rasun Anterselva,2,900.0,4.2,Climbing route in Rasen-Antholz/Rasun Anterselva.,"biotope rasen, winter hike, winter",template,,,False,False
smgpoi27af69853d9b6f6be6fa495ef8b868ce,Winter hiking - Brückele/Ponticello - Plätzwiese high plateau,climbing,Prags/Braies,2,900.0,4.2,Climbing route in Prags/Braies.,,template,,,False,False
smgpoiab7e9c1f140c3bc7cdf13c577510819e,Winter hike: Camping Antholz- Lake Anterselva,climbing,Rasen-Antholz/Rasun Anterselva,2,900.0,4.2,Climbing route in Rasen-Antholz/Rasun Anterselva.,"winter hike, camping, lake anterselva, winter",template,,,False,False
smgpoi5c81d68b61cdcd65608db613016af371,Winter walking Cir Promenade,climbing,Sëlva/Selva di Val Gardena,2,900.0,4.2,Climbing route in Sëlva/Selva di Val Gardena.,"winter walking cir promenade, winter, cir promenade",template,,,False,False
smgpoi18af3788c5a12ece00c3638b1702bf8e,Winter hike Corvara - Colfosco,climbing,Corvara,2,900.0,4.2,Climbing route in Corvara.,"corvara - colfosco, winter hike, winter",template,,,False,False
smgpoi35d1e76d1375d9c0f3135b247a7d4148,Winter hike Corvara - La Villa,climbing,Corvara,2,900.0,4.2,Climbing route in Corvara.,"winter hike corvara - la villa, winter, corvara - la villa",template,,,False,False
